Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
1,M020,P.S. 20 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,In-Progress,6/11/2024,10/10/2024,,5611,5611.0,984.0,DSF0001087468
1,M020,P.S. 20 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,PNS,PNS,PNS,PNS,25248,25248.0,3936.0,DSF0001087468
1,M020,P.S. 20 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Construction,PNS,PNS,PNS,PNS,325412,325412.0,0.0,DSF0001087468
1,M020,P.S. 20 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",PNS,PNS,PNS,PNS,60314,60314.0,0.0,DSF0001087468
1,M020,P.S. 20 - MANHATTAN,DOE - RESOA,FY19 RESO A HYDROPONICS LAB,Construction,In-Progress,3/22/2019,DOER,,DOER,162518.0,0.0,DSF0000890659
1,M020,P.S. 20 - MANHATTAN,DOE - Skilled Trades,BATHROOM UPGRADES,Construction,In-Progress,7/7/2021,DOES,,DOES,195021.0,0.0,DSF0001008690
1,M020,P.S. 20 - MANHATTAN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,4/2/2024,DOES,4/9/2024,DOES,65832.0,189.0,DSF0001084188
1,M022,NEW EXPLORATIONS - M,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,Scope,Complete,4/22/2021,9/7/2021,12/21/2021,195550,193921.0,191326.0,"DSF0000961144, DSF0001017428"
1,M022,NEW EXPLORATIONS - M,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,Design,Complete,12/22/2021,6/10/2022,9/16/2022,977750,546866.0,430161.0,"DSF0000961144, DSF0001017428"
1,M022,NEW EXPLORATIONS - M,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,Construction,In-Progress,8/7/2023,8/5/2025,,21999375,19894527.0,1721032.0,"DSF0000961144, DSF0001017428"
1,M022,NEW EXPLORATIONS - M,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,"CM,F&E",In-Progress,8/7/2023,8/5/2025,,1369882,118855.0,118855.0,"DSF0000961144, DSF0001017428"
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,Scope,In-Progress,3/5/2024,6/3/2024,,0,7019.0,1254.0,DSF0001086176
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,Design,PNS,PNS,PNS,PNS,6000,5016.0,5016.0,DSF0001086176
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,88000,88000.0,564.0,DSF0001086176
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,6000,6000.0,4181.0,DSF0001086176
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Scope,Complete,4/2/2024,7/3/2024,4/24/2024,0,0.0,0.0,DSF0001087037
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Design,PNS,PNS,PNS,PNS,0,0.0,0.0,DSF0001087037
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,0,0.0,0.0,DSF0001087037
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,0,0.0,0.0,DSF0001087037
1,M022,NEW EXPLORATIONS - M,Fast Track Projects,LSP- VACUUM PUMPS REPLACEMENTS,Construction,In-Progress,2/8/2024,FTK,,FTK,186188.0,0.0,DSF0001068167
1,M022,NEW EXPLORATIONS - M,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,4/14/2023,DIIR,,DIIR,50000.0,0.0,DSF0001033717
1,M022,NEW EXPLORATIONS - M,DOE - RESOA,FY21 RESO A BATHROOM UPGRADES,Construction,In-Progress,8/6/2021,DOER,,DOER,80736.0,0.0,DSF0000961298
1,M022,NEW EXPLORATIONS - M,DOE - RESOA,FY22 RESO A HYDROPONICS LAB,Construction,In-Progress,8/16/2022,DOER,,DOER,189971.0,0.0,DSF0001033234
1,M022,NEW EXPLORATIONS - M,DOE - RESOA,FY23 RESO A HYDROPONICS LAB,Construction,PNS,PNS,PNS,PNS,DOER,125000.0,0.0,DSF0001035621
1,M022,NEW EXPLORATIONS - M,DOE - Skilled Trades,CAFETERIA ENHANCEMENT EXPERIENCE,Construction,In-Progress,5/20/2024,DOES,,DOES,265619.0,0.0,DSF0001111855
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,ROOFS / EXTERIOR MASONRY / REINFORCING SUPPORT ELEMENTS / PARAPETS,Scope,Complete,10/23/2018,3/13/2019,1/24/2020,118770,254088.0,253238.0,"DSF0000874992, DSF0000874993, DSF0000943293, DSF0000943295"
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,ROOFS / EXTERIOR MASONRY / REINFORCING SUPPORT ELEMENTS / PARAPETS,Design,Complete,1/24/2020,6/24/2020,5/5/2021,586080,543359.0,515914.0,"DSF0000874992, DSF0000874993, DSF0000943293, DSF0000943295"
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,ROOFS / EXTERIOR MASONRY / REINFORCING SUPPORT ELEMENTS / PARAPETS,Construction,In-Progress,8/13/2021,8/11/2024,,12514695,11977720.0,11058653.0,"DSF0000874992, DSF0000874993, DSF0000943293, DSF0000943295"
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,ROOFS / EXTERIOR MASONRY / REINFORCING SUPPORT ELEMENTS / PARAPETS,"CM,F&E",In-Progress,8/13/2021,8/11/2024,,889665,1103758.0,1079997.0,"DSF0000874992, DSF0000874993, DSF0000943293, DSF0000943295"
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,6/25/2020,10/26/2020,7/21/2020,3482,4450.0,4450.0,DSF0000960787
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,7/21/2020,1/15/2021,3/30/2021,15667,17800.0,17800.0,DSF0000960787
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,In-Progress,5/24/2022,3/19/2023,,201929,188076.0,168904.0,DSF0000960787
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,5/24/2022,3/19/2023,,234839,259060.0,253719.0,DSF0000960787
1,M025,I.S. 378 - MANHATTAN,SCA Emergency Response,EMERGENCY STABILIZATION,Construction,In-Progress,2/1/2019,EMER,,EMER,518927.0,516189.0,SCA0000056151
1,M025,I.S. 378 - MANHATTAN,DOE - Skilled Trades,CAFETERIA ENHANCEMENT EXPERIENCE,Construction,In-Progress,3/22/2024,DOES,,DOES,587152.0,0.0,DSF0001085731
1,M034,P.S. 34 - MANHATTAN,SCA CIP,HEATING PLANT / FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / LOW VOLTAGE ELECTRICAL SYSTEM / CLIMATE CONTROL / ELECTRICAL SYSTEMS / WINDOWS / ROOFS,Scope,Complete,10/19/2018,12/30/2019,3/31/2020,284717,339901.0,329710.0,"DSF0000992072, DSF0000897945, DSF0000897946, DSF0000897947, DSF0000943350, DSF0000960885, DSF0000960884, DSF0001008630, DSF0000992069"
1,M034,P.S. 34 - MANHATTAN,SCA CIP,HEATING PLANT / FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / LOW VOLTAGE ELECTRICAL SYSTEM / CLIMATE CONTROL / ELECTRICAL SYSTEMS / WINDOWS / ROOFS,Design,Complete,12/7/2020,5/10/2021,5/18/2021,1412815,1132738.0,978166.0,"DSF0000992072, DSF0000897945, DSF0000897946, DSF0000897947, DSF0000943350, DSF0000960885, DSF0000960884, DSF0001008630, DSF0000992069"
1,M034,P.S. 34 - MANHATTAN,SCA CIP,HEATING PLANT / FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / LOW VOLTAGE ELECTRICAL SYSTEM / CLIMATE CONTROL / ELECTRICAL SYSTEMS / WINDOWS / ROOFS,Construction,In-Progress,7/5/2022,12/20/2024,,30857060,29055879.0,24667044.0,"DSF0000992072, DSF0000897945, DSF0000897946, DSF0000897947, DSF0000943350, DSF0000960885, DSF0000960884, DSF0001008630, DSF0000992069"
1,M034,P.S. 34 - MANHATTAN,SCA CIP,HEATING PLANT / FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / LOW VOLTAGE ELECTRICAL SYSTEM / CLIMATE CONTROL / ELECTRICAL SYSTEMS / WINDOWS / ROOFS,"CM,F&E",In-Progress,7/5/2022,12/20/2024,,2073759,606515.0,558657.0,"DSF0000992072, DSF0000897945, DSF0000897946, DSF0000897947, DSF0000943350, DSF0000960885, DSF0000960884, DSF0001008630, DSF0000992069"
1,M034,P.S. 34 - MANHATTAN,SCA Furniture & Equipment,FY20 RESO A MOBILE SCIENCE LABS,F&E,PNS,PNS,PNS,PNS,140000,140000.0,0.0,DSF0000913873
1,M034,P.S. 34 - MANHATTAN,DIIT - RESOA,FY21 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,50000.0,0.0,DSF0001007798
1,M034,P.S. 34 - MANHATTAN,DOE - RESOA,FY21 RESO A WATER FOUNTAIN UPGRADES,Construction,In-Progress,12/1/2022,DOER,,DOER,34574.0,0.0,DSF0001007800
1,M034,P.S. 34 - MANHATTAN,DOE - RESOA,FY23 RESO A ROOM CONVERSION,Construction,In-Progress,3/15/2024,DOER,,DOER,103169.0,0.0,DSF0001035626
1,M034,P.S. 34 - MANHATTAN,DOE - Skilled Trades,DEP/DOE WATER CONSERVATION FIXTURE RETROFIT PROGRAM,Construction,In-Progress,5/25/2022,DOES,,DOES,92365.0,0.0,DSF0001008949
1,M056,J.H.S. 292 - MANHATTAN,SCA CIP,LOW-VOLTAGE ELECTRICAL SYSTEM,Scope,Complete,4/30/2021,7/30/2021,7/22/2021,27380,42770.0,42770.0,DSF0000992308
1,M056,J.H.S. 292 - MANHATTAN,SCA CIP,LOW-VOLTAGE ELECTRICAL SYSTEM,Design,Complete,8/2/2021,2/7/2022,2/1/2022,136900,162051.0,154225.0,DSF0000992308
1,M056,J.H.S. 292 - MANHATTAN,SCA CIP,LOW-VOLTAGE ELECTRICAL SYSTEM,Construction,PNS,PNS,PNS,PNS,3080255,3080255.0,104497.0,DSF0000992308
1,M056,J.H.S. 292 - MANHATTAN,SCA CIP,LOW-VOLTAGE ELECTRICAL SYSTEM,"CM,F&E",PNS,PNS,PNS,PNS,191660,191660.0,23938.0,DSF0000992308
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Scope,PNS,PNS,PNS,PNS,0,51.0,51.0,DSF0001035639
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Design,PNS,PNS,PNS,PNS,92049,91998.0,202.0,DSF0001035639
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,1350049,1687561.0,0.0,DSF0001035639
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,92049,115061.0,344.0,DSF0001035639
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0.0,0.0,DSF0001035640
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Design,PNS,PNS,PNS,PNS,0,0.0,0.0,DSF0001035640
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,0,0.0,0.0,DSF0001035640
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,0,0.0,0.0,DSF0001035640
1,M056,J.H.S. 292 - MANHATTAN,SCA IEH,PO18-WE ARE GOING TO NEED AN ABATEMENT AT M056. THE LOCATIONS ARE RMS. 313 AND 213 AND IT'S APPROXIM,Construction,In-Progress,4/12/2024,IEH,,IEH,1002.0,427.0,SCA0000072923
1,M056,J.H.S. 292 - MANHATTAN,DIIT - RESOA,FY20 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,75000.0,0.0,DSF0000913568
1,M056,J.H.S. 292 - MANHATTAN,DOE - RESOA,FY20 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,120291.0,0.0,DSF0000913081
1,M056,J.H.S. 292 - MANHATTAN,DOE - RESOA,FY21 RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,DOER,8669.0,0.0,DSF0001007786
1,M056,I.S. 332 - MANHATTAN,DOE - Skilled Trades,CAFETERIA ENHANCEMENT EXPERIENCE,Construction,In-Progress,5/8/2024,DOES,,DOES,571709.0,0.0,DSF0001085733
1,M056,MANHATTAN CHARTER SCHOOL II,Trust For Public Land,TPL- EXTREME WEATHER PLAYGROUND UPGRADE,Construction,In-Progress,2/10/2024,TPL,,TPL,2940000.0,2385830.0,DSF0001034698
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,VENTILATION / FIRE ALARM SYSTEM REPLACEMENT,Scope,Complete,5/16/2022,9/16/2022,8/2/2022,53927,77972.0,77972.0,"DSF0001083923, DSF0001017824"
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,VENTILATION / FIRE ALARM SYSTEM REPLACEMENT,Design,Complete,8/8/2022,2/13/2023,5/8/2023,259893,198802.0,181856.0,"DSF0001083923, DSF0001017824"
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,VENTILATION / FIRE ALARM SYSTEM REPLACEMENT,Construction,PNS,PNS,PNS,PNS,5005043,5005043.0,581060.0,"DSF0001083923, DSF0001017824"
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,VENTILATION / FIRE ALARM SYSTEM REPLACEMENT,"CM,F&E",PNS,PNS,PNS,PNS,450541,450541.0,94567.0,"DSF0001083923, DSF0001017824"
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA IEH,PO18-ABATE AND REPAIR PIPE INSULATION DUE TO STEAM LEAK LOCATED IN THE ART GALLARY DOWN IN THE BASEM,Construction,Complete,1/19/2024,IEH,1/20/2024,IEH,15076.0,11076.0,SCA0000072665
1,M060,EAST SIDE COMMUNITY SCHOOL,Fast Track Projects,COVID VENTILATION,Construction,In-Progress,11/3/2020,FTK,,FTK,194813.0,190289.0,DSF0000961040
1,M060,EAST SIDE COMMUNITY SCHOOL,Fast Track Projects,ROOF,Construction,In-Progress,5/16/2019,FTK,,FTK,1767085.0,1630567.0,DSF0000912294
1,M060,EAST SIDE COMMUNITY SCHOOL,DIIT - IPDVS,DIIT IPDVS SERVER REFRESH,Purch & Install,Complete,9/23/2022,IPDV,1/26/2023,DIIS,50000.0,40511.0,DSF0001034756
1,M060,EAST SIDE COMMUNITY SCHOOL,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,3/27/2024,DIIR,6/18/2024,DIIR,53000.0,53000.0,DSF0001086193
1,M060,EAST SIDE COMMUNITY SCHOOL,DOE - RESOA,FY21 RESO A WATER FOUNTAIN UPGRADES,Construction,In-Progress,1/31/2022,DOER,,DOER,38764.0,0.0,DSF0000961294
1,M060,EAST SIDE COMMUNITY SCHOOL,DOE - RESOA,FY23 RESO A SCIENCE LAB UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,2575903.0,0.0,DSF0001035641
1,M060,EAST SIDE COMMUNITY SCHOOL,DOE - Skilled Trades,ACE BOILER CONTROLS UPGRADE,Construction,In-Progress,6/5/2023,DOES,,DOES,60921.0,0.0,DSF0000866117
1,M060,EAST SIDE COMMUNITY SCHOOL,DOE - Skilled Trades,CAFETERIA ENHANCEMENT EXPERIENCE,Construction,In-Progress,4/1/2024,DOES,,DOES,438872.0,0.0,DSF0001085734
1,M061,P.S. 361 - MANHATTAN,SCA CIP,WATER INFILTRATION IN ELECTRICAL ROOM,Scope,Complete,4/9/2019,8/22/2019,9/20/2019,22622,11776.0,11776.0,DSF0000898235
1,M061,P.S. 361 - MANHATTAN,SCA CIP,WATER INFILTRATION IN ELECTRICAL ROOM,Design,Complete,10/23/2019,3/27/2020,6/8/2020,113110,117941.0,114637.0,DSF0000898235
1,M061,P.S. 361 - MANHATTAN,SCA CIP,WATER INFILTRATION IN ELECTRICAL ROOM,Construction,In-Progress,10/18/2021,4/10/2023,,2544967,2352810.0,1700745.0,DSF0000898235
1,M061,P.S. 361 - MANHATTAN,SCA CIP,WATER INFILTRATION IN ELECTRICAL ROOM,"CM,F&E",In-Progress,10/18/2021,4/10/2023,,158354,549796.0,467540.0,DSF0000898235
1,M061,P.S. 361 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,7/7/2022,11/4/2022,7/27/2022,3838,2320.0,2320.0,DSF0001034584
1,M061,P.S. 361 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,7/27/2022,1/25/2023,9/21/2022,17271,9280.0,9280.0,DSF0001034584
1,M061,P.S. 361 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,6/5/2023,4/29/2024,,222607,209255.0,166392.0,DSF0001034584
1,M061,P.S. 361 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,6/5/2023,4/29/2024,,117815,100533.0,55108.0,DSF0001034584
1,M061,M094 SPED - MANHATTAN,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,11/27/2023,DIIR,3/13/2024,DIIR,70000.0,70000.0,DSF0001035644
1,M061,P.S. 361 - MANHATTAN,DOE - RESOA,FY22 RESO A HYDROPONICS LAB,Construction,In-Progress,7/29/2022,DOER,,DOER,219727.0,0.0,DSF0001033207
1,M061,P.S. 315 - MANHATTAN,DOE - Skilled Trades,DEP/DOE WATER CONSERVATION FIXTURE RETROFIT PROGRAM,Construction,In-Progress,5/31/2022,DOES,,DOES,72044.0,0.0,DSF0001008951
1,M061,P.S. 361 - MANHATTAN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,4/5/2024,DOES,4/12/2024,DOES,65832.0,25380.0,DSF0001084197
1,M063,P.S. 363 - MANHATTAN,Fast Track Projects,LSP FY23 RESO A GYMNASIUM UPGRADE,Construction,In-Progress,11/29/2023,FTK,,FTK,108253.0,0.0,DSF0001035647
1,M063,P.S. 63 - MANHATTAN,DIIT - IPDVS,DIIT IPDVS SERVER REFRESH,Purch & Install,Complete,1/3/2023,IPDV,2/27/2023,DIIS,50000.0,35048.0,DSF0001034757
1,M063,P.S. 63 - MANHATTAN,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,Complete,10/25/2023,DOEL,3/26/2024,DOEL,95707.0,95707.0,
1,M063,P.S. 63 - MANHATTAN,DOE - RESOA,FY22 RESO A BATHROOM UPGRADES,Construction,In-Progress,10/7/2022,DOER,,DOER,202779.0,0.0,DSF0001033635
1,M063,P.S. 363 - MANHATTAN,DOE - RESOA,FY23 RESO A BATHROOM UPGRADES,Construction,In-Progress,3/15/2024,DOER,,DOER,201403.0,0.0,DSF0001035646
1,M063,P.S. 363 - MANHATTAN,DOE - Skilled Trades,DEP/DOE WATER CONSERVATION FIXTURE RETROFIT PROGRAM,Construction,In-Progress,7/27/2022,DOES,,DOES,94774.0,0.0,DSF0001009098
1,M063,P.S. 63 - MANHATTAN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,In-Progress,10/24/2023,DOES,,DOES,65832.0,0.0,DSF0001084198
1,M064,I.S. 839 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,Scope,Complete,6/20/2019,11/5/2019,12/23/2019,111561,221114.0,217051.0,"DSF0000898265, DSF0000898268, DSF0000898269, DSF0000898270"
1,M064,I.S. 839 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,Design,Complete,1/8/2020,6/9/2020,6/30/2020,551747,735053.0,663602.0,"DSF0000898265, DSF0000898268, DSF0000898269, DSF0000898270"
1,M064,I.S. 839 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,Construction,In-Progress,5/24/2021,5/23/2023,,11889967,11640835.0,7466932.0,"DSF0000898265, DSF0000898268, DSF0000898269, DSF0000898270"
1,M064,I.S. 839 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,"CM,F&E",In-Progress,5/24/2021,5/23/2023,,826395,785118.0,699200.0,"DSF0000898265, DSF0000898268, DSF0000898269, DSF0000898270"
1,M064,P.S. 64 - MANHATTAN,SCA CIP RESOA,FY20 RESO A PLAYGROUND UPGRADE,Scope,Complete,12/2/2019,3/4/2020,2/11/2020,0,27695.0,27695.0,DSF0000913307
