Project Geographic District ,Project Building Identifier,Project School Name,Project Type,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s),Valid Row,Overrun Amount,Overrun Percentage,Cost Overrun
1,M019,P.S. 315 - MANHATTAN,DOE - RESOA,FY24 RESO A GYMNASIUM UPGRADE,Construction,PNS,,,PNS,,65000,0,DSF0001086175,FALSE,,,
1,M019,P.S. 315 - MANHATTAN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,3/27/2024,,4/3/2024,,65832,2197,DSF0001084187,FALSE,,,
1,M020,P.S. 20 - MANHATTAN,SCA CIP,ROOFS / WINDOWS / SECURITY LIGHTING / EXTERIOR MASONRY / PARAPETS,Scope,Complete,5/26/2021,10/12/2021,1/21/2022,124674,160738,160738,"DSF0000991960, DSF0000991962, DSF0001017426, DSF0001017414, DSF0001017413",TRUE,36064,28.92664068,1
1,M020,P.S. 20 - MANHATTAN,SCA CIP,ROOFS / WINDOWS / SECURITY LIGHTING / EXTERIOR MASONRY / PARAPETS,Design,Complete,1/21/2022,6/22/2022,5/10/2022,613841,519032,480193,"DSF0000991960, DSF0000991962, DSF0001017426, DSF0001017414, DSF0001017413",TRUE,-133648,-21.77241338,0
1,M020,P.S. 20 - MANHATTAN,SCA CIP,ROOFS / WINDOWS / SECURITY LIGHTING / EXTERIOR MASONRY / PARAPETS,Construction,In-Progress,9/19/2022,6/9/2024,,12987707,12156977,10023612,"DSF0000991960, DSF0000991962, DSF0001017426, DSF0001017414, DSF0001017413",TRUE,-2964095,-22.8223119,0
1,M020,P.S. 20 - MANHATTAN,SCA CIP,ROOFS / WINDOWS / SECURITY LIGHTING / EXTERIOR MASONRY / PARAPETS,"CM,F&E",In-Progress,9/19/2022,6/9/2024,,944133,263447,230167,"DSF0000991960, DSF0000991962, DSF0001017426, DSF0001017414, DSF0001017413",TRUE,-713966,-75.62133725,0
1,M020,P.S. 20 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,In-Progress,6/11/2024,10/10/2024,,5611,5611,984,DSF0001087468,TRUE,-4627,-82.46301907,0
1,M020,P.S. 20 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,PNS,,,PNS,25248,25248,3936,DSF0001087468,FALSE,,,
1,M020,P.S. 20 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Construction,PNS,,,PNS,325412,325412,0,DSF0001087468,FALSE,,,
1,M020,P.S. 20 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",PNS,,,PNS,60314,60314,0,DSF0001087468,FALSE,,,
1,M020,P.S. 20 - MANHATTAN,DOE - RESOA,FY19 RESO A HYDROPONICS LAB,Construction,In-Progress,3/22/2019,,,,162518,0,DSF0000890659,FALSE,,,
1,M020,P.S. 20 - MANHATTAN,DOE - Skilled Trades,BATHROOM UPGRADES,Construction,In-Progress,7/7/2021,,,,195021,0,DSF0001008690,FALSE,,,
1,M020,P.S. 20 - MANHATTAN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,4/2/2024,,4/9/2024,,65832,189,DSF0001084188,FALSE,,,
1,M022,NEW EXPLORATIONS - M,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,Scope,Complete,4/22/2021,9/7/2021,12/21/2021,195550,193921,191326,"DSF0000961144, DSF0001017428",TRUE,-4224,-2.160061365,0
1,M022,NEW EXPLORATIONS - M,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,Design,Complete,12/22/2021,6/10/2022,9/16/2022,977750,546866,430161,"DSF0000961144, DSF0001017428",TRUE,-547589,-56.00501151,0
1,M022,NEW EXPLORATIONS - M,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,Construction,In-Progress,8/7/2023,8/5/2025,,21999375,19894527,1721032,"DSF0000961144, DSF0001017428",TRUE,-20278343,-92.17690503,0
1,M022,NEW EXPLORATIONS - M,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,"CM,F&E",In-Progress,8/7/2023,8/5/2025,,1369882,118855,118855,"DSF0000961144, DSF0001017428",TRUE,-1251027,-91.32370525,0
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,Scope,In-Progress,3/5/2024,6/3/2024,,0,7019,1254,DSF0001086176,FALSE,,,
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,Design,PNS,,,PNS,6000,5016,5016,DSF0001086176,FALSE,,,
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,Construction,PNS,,,PNS,88000,88000,564,DSF0001086176,FALSE,,,
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,,,PNS,6000,6000,4181,DSF0001086176,FALSE,,,
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Scope,Complete,4/2/2024,7/3/2024,4/24/2024,0,0,0,DSF0001087037,FALSE,,,
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Design,PNS,,,PNS,0,0,0,DSF0001087037,FALSE,,,
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Construction,PNS,,,PNS,0,0,0,DSF0001087037,FALSE,,,
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,,,PNS,0,0,0,DSF0001087037,FALSE,,,
1,M022,NEW EXPLORATIONS - M,Fast Track Projects,LSP- VACUUM PUMPS REPLACEMENTS,Construction,In-Progress,2/8/2024,,,,186188,0,DSF0001068167,FALSE,,,
1,M022,NEW EXPLORATIONS - M,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,4/14/2023,,,,50000,0,DSF0001033717,FALSE,,,
1,M022,NEW EXPLORATIONS - M,DOE - RESOA,FY21 RESO A BATHROOM UPGRADES,Construction,In-Progress,8/6/2021,,,,80736,0,DSF0000961298,FALSE,,,
1,M022,NEW EXPLORATIONS - M,DOE - RESOA,FY22 RESO A HYDROPONICS LAB,Construction,In-Progress,8/16/2022,,,,189971,0,DSF0001033234,FALSE,,,
1,M022,NEW EXPLORATIONS - M,DOE - RESOA,FY23 RESO A HYDROPONICS LAB,Construction,PNS,,,PNS,,125000,0,DSF0001035621,FALSE,,,
1,M022,NEW EXPLORATIONS - M,DOE - Skilled Trades,CAFETERIA ENHANCEMENT EXPERIENCE,Construction,In-Progress,5/20/2024,,,,265619,0,DSF0001111855,FALSE,,,
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,ROOFS / EXTERIOR MASONRY / REINFORCING SUPPORT ELEMENTS / PARAPETS,Scope,Complete,10/23/2018,3/13/2019,1/24/2020,118770,254088,253238,"DSF0000874992, DSF0000874993, DSF0000943293, DSF0000943295",TRUE,134468,113.2171424,1
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,ROOFS / EXTERIOR MASONRY / REINFORCING SUPPORT ELEMENTS / PARAPETS,Design,Complete,1/24/2020,6/24/2020,5/5/2021,586080,543359,515914,"DSF0000874992, DSF0000874993, DSF0000943293, DSF0000943295",TRUE,-70166,-11.97208572,0
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,ROOFS / EXTERIOR MASONRY / REINFORCING SUPPORT ELEMENTS / PARAPETS,Construction,In-Progress,8/13/2021,8/11/2024,,12514695,11977720,11058653,"DSF0000874992, DSF0000874993, DSF0000943293, DSF0000943295",TRUE,-1456042,-11.6346583,0
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,ROOFS / EXTERIOR MASONRY / REINFORCING SUPPORT ELEMENTS / PARAPETS,"CM,F&E",In-Progress,8/13/2021,8/11/2024,,889665,1103758,1079997,"DSF0000874992, DSF0000874993, DSF0000943293, DSF0000943295",TRUE,190332,21.39367065,1
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,6/25/2020,10/26/2020,7/21/2020,3482,4450,4450,DSF0000960787,TRUE,968,27.80011488,1
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,7/21/2020,1/15/2021,3/30/2021,15667,17800,17800,DSF0000960787,TRUE,2133,13.61460394,1
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,In-Progress,5/24/2022,3/19/2023,,201929,188076,168904,DSF0000960787,TRUE,-33025,-16.35475836,0
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,5/24/2022,3/19/2023,,234839,259060,253719,DSF0000960787,TRUE,18880,8.039550501,1
1,M025,I.S. 378 - MANHATTAN,SCA Emergency Response,EMERGENCY STABILIZATION,Construction,In-Progress,2/1/2019,,,,518927,516189,SCA0000056151,FALSE,,,
1,M025,I.S. 378 - MANHATTAN,DOE - Skilled Trades,CAFETERIA ENHANCEMENT EXPERIENCE,Construction,In-Progress,3/22/2024,,,,587152,0,DSF0001085731,FALSE,,,
1,M034,P.S. 34 - MANHATTAN,SCA CIP,HEATING PLANT / FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / LOW VOLTAGE ELECTRICAL SYSTEM / CLIMATE CONTROL / ELECTRICAL SYSTEMS / WINDOWS / ROOFS,Scope,Complete,10/19/2018,12/30/2019,3/31/2020,284717,339901,329710,"DSF0000992072, DSF0000897945, DSF0000897946, DSF0000897947, DSF0000943350, DSF0000960885, DSF0000960884, DSF0001008630, DSF0000992069",TRUE,44993,15.80270936,1
1,M034,P.S. 34 - MANHATTAN,SCA CIP,HEATING PLANT / FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / LOW VOLTAGE ELECTRICAL SYSTEM / CLIMATE CONTROL / ELECTRICAL SYSTEMS / WINDOWS / ROOFS,Design,Complete,12/7/2020,5/10/2021,5/18/2021,1412815,1132738,978166,"DSF0000992072, DSF0000897945, DSF0000897946, DSF0000897947, DSF0000943350, DSF0000960885, DSF0000960884, DSF0001008630, DSF0000992069",TRUE,-434649,-30.76474981,0
1,M034,P.S. 34 - MANHATTAN,SCA CIP,HEATING PLANT / FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / LOW VOLTAGE ELECTRICAL SYSTEM / CLIMATE CONTROL / ELECTRICAL SYSTEMS / WINDOWS / ROOFS,Construction,In-Progress,7/5/2022,12/20/2024,,30857060,29055879,24667044,"DSF0000992072, DSF0000897945, DSF0000897946, DSF0000897947, DSF0000943350, DSF0000960885, DSF0000960884, DSF0001008630, DSF0000992069",TRUE,-6190016,-20.0602909,0
1,M034,P.S. 34 - MANHATTAN,SCA CIP,HEATING PLANT / FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / LOW VOLTAGE ELECTRICAL SYSTEM / CLIMATE CONTROL / ELECTRICAL SYSTEMS / WINDOWS / ROOFS,"CM,F&E",In-Progress,7/5/2022,12/20/2024,,2073759,606515,558657,"DSF0000992072, DSF0000897945, DSF0000897946, DSF0000897947, DSF0000943350, DSF0000960885, DSF0000960884, DSF0001008630, DSF0000992069",TRUE,-1515102,-73.06065941,0
1,M034,P.S. 34 - MANHATTAN,SCA Furniture & Equipment,FY20 RESO A MOBILE SCIENCE LABS,F&E,PNS,,,PNS,140000,140000,0,DSF0000913873,FALSE,,,
1,M034,P.S. 34 - MANHATTAN,DIIT - RESOA,FY21 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/14/2021,,,,50000,0,DSF0001007798,FALSE,,,
1,M034,P.S. 34 - MANHATTAN,DOE - RESOA,FY21 RESO A WATER FOUNTAIN UPGRADES,Construction,In-Progress,12/1/2022,,,,34574,0,DSF0001007800,FALSE,,,
1,M034,P.S. 34 - MANHATTAN,DOE - RESOA,FY23 RESO A ROOM CONVERSION,Construction,In-Progress,3/15/2024,,,,103169,0,DSF0001035626,FALSE,,,
1,M034,P.S. 34 - MANHATTAN,DOE - Skilled Trades,DEP/DOE WATER CONSERVATION FIXTURE RETROFIT PROGRAM,Construction,In-Progress,5/25/2022,,,,92365,0,DSF0001008949,FALSE,,,
1,M056,J.H.S. 292 - MANHATTAN,SCA CIP,LOW-VOLTAGE ELECTRICAL SYSTEM,Scope,Complete,4/30/2021,7/30/2021,7/22/2021,27380,42770,42770,DSF0000992308,TRUE,15390,56.20891161,1
1,M056,J.H.S. 292 - MANHATTAN,SCA CIP,LOW-VOLTAGE ELECTRICAL SYSTEM,Design,Complete,8/2/2021,2/7/2022,2/1/2022,136900,162051,154225,DSF0000992308,TRUE,17325,12.65522279,1
1,M056,J.H.S. 292 - MANHATTAN,SCA CIP,LOW-VOLTAGE ELECTRICAL SYSTEM,Construction,PNS,,,PNS,3080255,3080255,104497,DSF0000992308,FALSE,,,
1,M056,J.H.S. 292 - MANHATTAN,SCA CIP,LOW-VOLTAGE ELECTRICAL SYSTEM,"CM,F&E",PNS,,,PNS,191660,191660,23938,DSF0000992308,FALSE,,,
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Scope,PNS,,,PNS,0,51,51,DSF0001035639,FALSE,,,
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Design,PNS,,,PNS,92049,91998,202,DSF0001035639,FALSE,,,
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Construction,PNS,,,PNS,1350049,1687561,0,DSF0001035639,FALSE,,,
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,,,PNS,92049,115061,344,DSF0001035639,FALSE,,,
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Scope,PNS,,,PNS,0,0,0,DSF0001035640,FALSE,,,
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Design,PNS,,,PNS,0,0,0,DSF0001035640,FALSE,,,
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Construction,PNS,,,PNS,0,0,0,DSF0001035640,FALSE,,,
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,,,PNS,0,0,0,DSF0001035640,FALSE,,,
1,M056,J.H.S. 292 - MANHATTAN,SCA IEH,PO18-WE ARE GOING TO NEED AN ABATEMENT AT M056. THE LOCATIONS ARE RMS. 313 AND 213 AND IT'S APPROXIM,Construction,In-Progress,4/12/2024,,,,1002,427,SCA0000072923,FALSE,,,
1,M056,J.H.S. 292 - MANHATTAN,DIIT - RESOA,FY20 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/14/2021,,,,75000,0,DSF0000913568,FALSE,,,
1,M056,J.H.S. 292 - MANHATTAN,DOE - RESOA,FY20 RESO A PLAYGROUND UPGRADE,Construction,PNS,,,PNS,,120291,0,DSF0000913081,FALSE,,,
1,M056,J.H.S. 292 - MANHATTAN,DOE - RESOA,FY21 RESO A ROOM CONVERSION,Construction,PNS,,,PNS,,8669,0,DSF0001007786,FALSE,,,
1,M056,I.S. 332 - MANHATTAN,DOE - Skilled Trades,CAFETERIA ENHANCEMENT EXPERIENCE,Construction,In-Progress,5/8/2024,,,,571709,0,DSF0001085733,FALSE,,,
1,M056,MANHATTAN CHARTER SCHOOL II,Trust For Public Land,TPL- EXTREME WEATHER PLAYGROUND UPGRADE,Construction,In-Progress,2/10/2024,,,,2940000,2385830,DSF0001034698,FALSE,,,
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,VENTILATION / FIRE ALARM SYSTEM REPLACEMENT,Scope,Complete,5/16/2022,9/16/2022,8/2/2022,53927,77972,77972,"DSF0001083923, DSF0001017824",TRUE,24045,44.58805422,1
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,VENTILATION / FIRE ALARM SYSTEM REPLACEMENT,Design,Complete,8/8/2022,2/13/2023,5/8/2023,259893,198802,181856,"DSF0001083923, DSF0001017824",TRUE,-78037,-30.02658787,0
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,VENTILATION / FIRE ALARM SYSTEM REPLACEMENT,Construction,PNS,,,PNS,5005043,5005043,581060,"DSF0001083923, DSF0001017824",FALSE,,,
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,VENTILATION / FIRE ALARM SYSTEM REPLACEMENT,"CM,F&E",PNS,,,PNS,450541,450541,94567,"DSF0001083923, DSF0001017824",FALSE,,,
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA IEH,PO18-ABATE AND REPAIR PIPE INSULATION DUE TO STEAM LEAK LOCATED IN THE ART GALLARY DOWN IN THE BASEM,Construction,Complete,1/19/2024,,1/20/2024,,15076,11076,SCA0000072665,FALSE,,,
1,M060,EAST SIDE COMMUNITY SCHOOL,Fast Track Projects,COVID VENTILATION,Construction,In-Progress,11/3/2020,,,,194813,190289,DSF0000961040,FALSE,,,
1,M060,EAST SIDE COMMUNITY SCHOOL,Fast Track Projects,ROOF,Construction,In-Progress,5/16/2019,,,,1767085,1630567,DSF0000912294,FALSE,,,
1,M060,EAST SIDE COMMUNITY SCHOOL,DIIT - IPDVS,DIIT IPDVS SERVER REFRESH,Purch & Install,Complete,9/23/2022,,1/26/2023,,50000,40511,DSF0001034756,FALSE,,,
1,M060,EAST SIDE COMMUNITY SCHOOL,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,3/27/2024,,6/18/2024,,53000,53000,DSF0001086193,FALSE,,,
1,M060,EAST SIDE COMMUNITY SCHOOL,DOE - RESOA,FY21 RESO A WATER FOUNTAIN UPGRADES,Construction,In-Progress,1/31/2022,,,,38764,0,DSF0000961294,FALSE,,,
1,M060,EAST SIDE COMMUNITY SCHOOL,DOE - RESOA,FY23 RESO A SCIENCE LAB UPGRADE,Construction,PNS,,,PNS,,2575903,0,DSF0001035641,FALSE,,,
1,M060,EAST SIDE COMMUNITY SCHOOL,DOE - Skilled Trades,ACE BOILER CONTROLS UPGRADE,Construction,In-Progress,6/5/2023,,,,60921,0,DSF0000866117,FALSE,,,
1,M060,EAST SIDE COMMUNITY SCHOOL,DOE - Skilled Trades,CAFETERIA ENHANCEMENT EXPERIENCE,Construction,In-Progress,4/1/2024,,,,438872,0,DSF0001085734,FALSE,,,
1,M061,P.S. 361 - MANHATTAN,SCA CIP,WATER INFILTRATION IN ELECTRICAL ROOM,Scope,Complete,4/9/2019,8/22/2019,9/20/2019,22622,11776,11776,DSF0000898235,TRUE,-10846,-47.94447883,0
1,M061,P.S. 361 - MANHATTAN,SCA CIP,WATER INFILTRATION IN ELECTRICAL ROOM,Design,Complete,10/23/2019,3/27/2020,6/8/2020,113110,117941,114637,DSF0000898235,TRUE,1527,1.350013261,0
1,M061,P.S. 361 - MANHATTAN,SCA CIP,WATER INFILTRATION IN ELECTRICAL ROOM,Construction,In-Progress,10/18/2021,4/10/2023,,2544967,2352810,1700745,DSF0000898235,TRUE,-844222,-33.17221795,0
1,M061,P.S. 361 - MANHATTAN,SCA CIP,WATER INFILTRATION IN ELECTRICAL ROOM,"CM,F&E",In-Progress,10/18/2021,4/10/2023,,158354,549796,467540,DSF0000898235,TRUE,309186,195.2498832,1
1,M061,P.S. 361 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,7/7/2022,11/4/2022,7/27/2022,3838,2320,2320,DSF0001034584,TRUE,-1518,-39.55184992,0
1,M061,P.S. 361 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,7/27/2022,1/25/2023,9/21/2022,17271,9280,9280,DSF0001034584,TRUE,-7991,-46.26831104,0
1,M061,P.S. 361 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,6/5/2023,4/29/2024,,222607,209255,166392,DSF0001034584,TRUE,-56215,-25.25302439,0
1,M061,P.S. 361 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,6/5/2023,4/29/2024,,117815,100533,55108,DSF0001034584,TRUE,-62707,-53.22497135,0
1,M061,M094 SPED - MANHATTAN,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,11/27/2023,,3/13/2024,,70000,70000,DSF0001035644,FALSE,,,
1,M061,P.S. 361 - MANHATTAN,DOE - RESOA,FY22 RESO A HYDROPONICS LAB,Construction,In-Progress,7/29/2022,,,,219727,0,DSF0001033207,FALSE,,,
1,M061,P.S. 315 - MANHATTAN,DOE - Skilled Trades,DEP/DOE WATER CONSERVATION FIXTURE RETROFIT PROGRAM,Construction,In-Progress,5/31/2022,,,,72044,0,DSF0001008951,FALSE,,,
1,M061,P.S. 361 - MANHATTAN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,4/5/2024,,4/12/2024,,65832,25380,DSF0001084197,FALSE,,,
1,M063,P.S. 363 - MANHATTAN,Fast Track Projects,LSP FY23 RESO A GYMNASIUM UPGRADE,Construction,In-Progress,11/29/2023,,,,108253,0,DSF0001035647,FALSE,,,
1,M063,P.S. 63 - MANHATTAN,DIIT - IPDVS,DIIT IPDVS SERVER REFRESH,Purch & Install,Complete,1/3/2023,,2/27/2023,,50000,35048,DSF0001034757,FALSE,,,
1,M063,P.S. 63 - MANHATTAN,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,Complete,10/25/2023,,3/26/2024,,95707,95707,,FALSE,,,
1,M063,P.S. 63 - MANHATTAN,DOE - RESOA,FY22 RESO A BATHROOM UPGRADES,Construction,In-Progress,10/7/2022,,,,202779,0,DSF0001033635,FALSE,,,
1,M063,P.S. 363 - MANHATTAN,DOE - RESOA,FY23 RESO A BATHROOM UPGRADES,Construction,In-Progress,3/15/2024,,,,201403,0,DSF0001035646,FALSE,,,
1,M063,P.S. 363 - MANHATTAN,DOE - Skilled Trades,DEP/DOE WATER CONSERVATION FIXTURE RETROFIT PROGRAM,Construction,In-Progress,7/27/2022,,,,94774,0,DSF0001009098,FALSE,,,
1,M063,P.S. 63 - MANHATTAN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,In-Progress,10/24/2023,,,,65832,0,DSF0001084198,FALSE,,,
1,M064,I.S. 839 - MANHATTAN,SCA CIP,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY,Scope,Complete,6/20/2019,11/5/2019,12/23/2019,111561,221114,217051,"DSF0000898265, DSF0000898268, DSF0000898269, DSF0000898270",TRUE,105490,94.55813411,1
