Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s),Valid Row,Overrun Amount,Overrun Percentage,Cost Overrun
1,M022,NEW EXPLORATIONS - M,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,Scope,Complete,2021-04-22,2021-09-07,12/21/2021,195550.0,193921.0,191326.0,"DSF0000961144, DSF0001017428",True,-4224.0,-2.1600613653796983,0.0
1,M022,NEW EXPLORATIONS - M,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,Design,Complete,2021-12-22,2022-06-10,9/16/2022,977750.0,546866.0,430161.0,"DSF0000961144, DSF0001017428",True,-547589.0,-56.00501150600869,0.0
1,M022,NEW EXPLORATIONS - M,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,Construction,In-Progress,2023-08-07,2025-08-05,,21999375.0,19894527.0,1721032.0,"DSF0000961144, DSF0001017428",True,-20278343.0,-92.17690502571095,0.0
1,M022,NEW EXPLORATIONS - M,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,"CM,F&E",In-Progress,2023-08-07,2025-08-05,,1369882.0,118855.0,118855.0,"DSF0000961144, DSF0001017428",True,-1251027.0,-91.32370525344518,0.0
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,Scope,In-Progress,2024-03-05,2024-06-03,,0.0,7019.0,1254.0,DSF0001086176,False,,,
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,Design,PNS,,,PNS,6000.0,5016.0,5016.0,DSF0001086176,False,,,
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,Construction,PNS,,,PNS,88000.0,88000.0,564.0,DSF0001086176,False,,,
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,,,PNS,6000.0,6000.0,4181.0,DSF0001086176,False,,,
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Scope,Complete,2024-04-02,2024-07-03,4/24/2024,0.0,0.0,0.0,DSF0001087037,False,,,
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Design,PNS,,,PNS,0.0,0.0,0.0,DSF0001087037,False,,,
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Construction,PNS,,,PNS,0.0,0.0,0.0,DSF0001087037,False,,,
1,M022,NEW EXPLORATIONS - M,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,,,PNS,0.0,0.0,0.0,DSF0001087037,False,,,
1,M022,NEW EXPLORATIONS - M,Fast Track Projects,LSP- VACUUM PUMPS REPLACEMENTS,Construction,In-Progress,2024-02-08,,,,186188.0,0.0,DSF0001068167,False,,,
1,M022,NEW EXPLORATIONS - M,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,2023-04-14,,,,50000.0,0.0,DSF0001033717,False,,,
1,M022,NEW EXPLORATIONS - M,DOE - RESOA,FY21 RESO A BATHROOM UPGRADES,Construction,In-Progress,2021-08-06,,,,80736.0,0.0,DSF0000961298,False,,,
1,M022,NEW EXPLORATIONS - M,DOE - RESOA,FY22 RESO A HYDROPONICS LAB,Construction,In-Progress,2022-08-16,,,,189971.0,0.0,DSF0001033234,False,,,
1,M022,NEW EXPLORATIONS - M,DOE - RESOA,FY23 RESO A HYDROPONICS LAB,Construction,PNS,,,PNS,,125000.0,0.0,DSF0001035621,False,,,
1,M022,NEW EXPLORATIONS - M,DOE - Skilled Trades,CAFETERIA ENHANCEMENT EXPERIENCE,Construction,In-Progress,2024-05-20,,,,265619.0,0.0,DSF0001111855,False,,,
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,ROOFS / EXTERIOR MASONRY / REINFORCING SUPPORT ELEMENTS / PARAPETS,Scope,Complete,2018-10-23,2019-03-13,1/24/2020,118770.0,254088.0,253238.0,"DSF0000874992, DSF0000874993, DSF0000943293, DSF0000943295",True,134468.0,113.21714237602087,1.0
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,ROOFS / EXTERIOR MASONRY / REINFORCING SUPPORT ELEMENTS / PARAPETS,Design,Complete,2020-01-24,2020-06-24,5/5/2021,586080.0,543359.0,515914.0,"DSF0000874992, DSF0000874993, DSF0000943293, DSF0000943295",True,-70166.0,-11.972085722085723,0.0
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,ROOFS / EXTERIOR MASONRY / REINFORCING SUPPORT ELEMENTS / PARAPETS,Construction,In-Progress,2021-08-13,2024-08-11,,12514695.0,11977720.0,11058653.0,"DSF0000874992, DSF0000874993, DSF0000943293, DSF0000943295",True,-1456042.0,-11.634658295707565,0.0
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,ROOFS / EXTERIOR MASONRY / REINFORCING SUPPORT ELEMENTS / PARAPETS,"CM,F&E",In-Progress,2021-08-13,2024-08-11,,889665.0,1103758.0,1079997.0,"DSF0000874992, DSF0000874993, DSF0000943293, DSF0000943295",True,190332.0,21.393670651312576,1.0
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,2020-06-25,2020-10-26,7/21/2020,3482.0,4450.0,4450.0,DSF0000960787,True,968.0,27.800114876507752,1.0
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,2020-07-21,2021-01-15,3/30/2021,15667.0,17800.0,17800.0,DSF0000960787,True,2133.0,13.614603944596922,1.0
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,In-Progress,2022-05-24,2023-03-19,,201929.0,188076.0,168904.0,DSF0000960787,True,-33025.0,-16.354758355659662,0.0
1,M025,LOWER EAST SIDE PREP HS - M,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,2022-05-24,2023-03-19,,234839.0,259060.0,253719.0,DSF0000960787,True,18880.0,8.0395505005557,1.0
1,M025,I.S. 378 - MANHATTAN,SCA Emergency Response,EMERGENCY STABILIZATION,Construction,In-Progress,2019-02-01,,,,518927.0,516189.0,SCA0000056151,False,,,
1,M025,I.S. 378 - MANHATTAN,DOE - Skilled Trades,CAFETERIA ENHANCEMENT EXPERIENCE,Construction,In-Progress,2024-03-22,,,,587152.0,0.0,DSF0001085731,False,,,
1,M034,P.S. 34 - MANHATTAN,SCA CIP,HEATING PLANT / FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / LOW VOLTAGE ELECTRICAL SYSTEM / CLIMATE CONTROL / ELECTRICAL SYSTEMS / WINDOWS / ROOFS,Scope,Complete,2018-10-19,2019-12-30,3/31/2020,284717.0,339901.0,329710.0,"DSF0000992072, DSF0000897945, DSF0000897946, DSF0000897947, DSF0000943350, DSF0000960885, DSF0000960884, DSF0001008630, DSF0000992069",True,44993.0,15.802709357010647,1.0
1,M034,P.S. 34 - MANHATTAN,SCA CIP,HEATING PLANT / FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / LOW VOLTAGE ELECTRICAL SYSTEM / CLIMATE CONTROL / ELECTRICAL SYSTEMS / WINDOWS / ROOFS,Design,Complete,2020-12-07,2021-05-10,5/18/2021,1412815.0,1132738.0,978166.0,"DSF0000992072, DSF0000897945, DSF0000897946, DSF0000897947, DSF0000943350, DSF0000960885, DSF0000960884, DSF0001008630, DSF0000992069",True,-434649.0,-30.76474980800742,0.0
1,M034,P.S. 34 - MANHATTAN,SCA CIP,HEATING PLANT / FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / LOW VOLTAGE ELECTRICAL SYSTEM / CLIMATE CONTROL / ELECTRICAL SYSTEMS / WINDOWS / ROOFS,Construction,In-Progress,2022-07-05,2024-12-20,,30857060.0,29055879.0,24667044.0,"DSF0000992072, DSF0000897945, DSF0000897946, DSF0000897947, DSF0000943350, DSF0000960885, DSF0000960884, DSF0001008630, DSF0000992069",True,-6190016.0,-20.06029090263298,0.0
1,M034,P.S. 34 - MANHATTAN,SCA CIP,HEATING PLANT / FLOOD ELIMINATION / PARAPETS / EXTERIOR MASONRY / LOW VOLTAGE ELECTRICAL SYSTEM / CLIMATE CONTROL / ELECTRICAL SYSTEMS / WINDOWS / ROOFS,"CM,F&E",In-Progress,2022-07-05,2024-12-20,,2073759.0,606515.0,558657.0,"DSF0000992072, DSF0000897945, DSF0000897946, DSF0000897947, DSF0000943350, DSF0000960885, DSF0000960884, DSF0001008630, DSF0000992069",True,-1515102.0,-73.06065941124305,0.0
1,M034,P.S. 34 - MANHATTAN,SCA Furniture & Equipment,FY20 RESO A MOBILE SCIENCE LABS,F&E,PNS,,,PNS,140000.0,140000.0,0.0,DSF0000913873,False,,,
1,M034,P.S. 34 - MANHATTAN,DIIT - RESOA,FY21 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,2021-03-14,,,,50000.0,0.0,DSF0001007798,False,,,
1,M034,P.S. 34 - MANHATTAN,DOE - RESOA,FY21 RESO A WATER FOUNTAIN UPGRADES,Construction,In-Progress,2022-12-01,,,,34574.0,0.0,DSF0001007800,False,,,
1,M034,P.S. 34 - MANHATTAN,DOE - RESOA,FY23 RESO A ROOM CONVERSION,Construction,In-Progress,2024-03-15,,,,103169.0,0.0,DSF0001035626,False,,,
1,M034,P.S. 34 - MANHATTAN,DOE - Skilled Trades,DEP/DOE WATER CONSERVATION FIXTURE RETROFIT PROGRAM,Construction,In-Progress,2022-05-25,,,,92365.0,0.0,DSF0001008949,False,,,
1,M056,J.H.S. 292 - MANHATTAN,SCA CIP,LOW-VOLTAGE ELECTRICAL SYSTEM,Scope,Complete,2021-04-30,2021-07-30,7/22/2021,27380.0,42770.0,42770.0,DSF0000992308,True,15390.0,56.20891161431702,1.0
1,M056,J.H.S. 292 - MANHATTAN,SCA CIP,LOW-VOLTAGE ELECTRICAL SYSTEM,Design,Complete,2021-08-02,2022-02-07,2/1/2022,136900.0,162051.0,154225.0,DSF0000992308,True,17325.0,12.655222790357925,1.0
1,M056,J.H.S. 292 - MANHATTAN,SCA CIP,LOW-VOLTAGE ELECTRICAL SYSTEM,Construction,PNS,,,PNS,3080255.0,3080255.0,104497.0,DSF0000992308,False,,,
1,M056,J.H.S. 292 - MANHATTAN,SCA CIP,LOW-VOLTAGE ELECTRICAL SYSTEM,"CM,F&E",PNS,,,PNS,191660.0,191660.0,23938.0,DSF0000992308,False,,,
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Scope,PNS,,,PNS,0.0,51.0,51.0,DSF0001035639,False,,,
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Design,PNS,,,PNS,92049.0,91998.0,202.0,DSF0001035639,False,,,
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Construction,PNS,,,PNS,1350049.0,1687561.0,0.0,DSF0001035639,False,,,
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,,,PNS,92049.0,115061.0,344.0,DSF0001035639,False,,,
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Scope,PNS,,,PNS,0.0,0.0,0.0,DSF0001035640,False,,,
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Design,PNS,,,PNS,0.0,0.0,0.0,DSF0001035640,False,,,
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Construction,PNS,,,PNS,0.0,0.0,0.0,DSF0001035640,False,,,
1,M056,I.S. 332 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,,,PNS,0.0,0.0,0.0,DSF0001035640,False,,,
1,M056,J.H.S. 292 - MANHATTAN,SCA IEH,PO18-WE ARE GOING TO NEED AN ABATEMENT AT M056. THE LOCATIONS ARE RMS. 313 AND 213 AND IT'S APPROXIM,Construction,In-Progress,2024-04-12,,,,1002.0,427.0,SCA0000072923,False,,,
1,M056,J.H.S. 292 - MANHATTAN,DIIT - RESOA,FY20 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,2021-03-14,,,,75000.0,0.0,DSF0000913568,False,,,
1,M056,J.H.S. 292 - MANHATTAN,DOE - RESOA,FY20 RESO A PLAYGROUND UPGRADE,Construction,PNS,,,PNS,,120291.0,0.0,DSF0000913081,False,,,
1,M056,J.H.S. 292 - MANHATTAN,DOE - RESOA,FY21 RESO A ROOM CONVERSION,Construction,PNS,,,PNS,,8669.0,0.0,DSF0001007786,False,,,
1,M056,I.S. 332 - MANHATTAN,DOE - Skilled Trades,CAFETERIA ENHANCEMENT EXPERIENCE,Construction,In-Progress,2024-05-08,,,,571709.0,0.0,DSF0001085733,False,,,
1,M056,MANHATTAN CHARTER SCHOOL II,Trust For Public Land,TPL- EXTREME WEATHER PLAYGROUND UPGRADE,Construction,In-Progress,2024-02-10,,,,2940000.0,2385830.0,DSF0001034698,False,,,
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,VENTILATION / FIRE ALARM SYSTEM REPLACEMENT,Scope,Complete,2022-05-16,2022-09-16,8/2/2022,53927.0,77972.0,77972.0,"DSF0001083923, DSF0001017824",True,24045.0,44.588054221447514,1.0
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,VENTILATION / FIRE ALARM SYSTEM REPLACEMENT,Design,Complete,2022-08-08,2023-02-13,5/8/2023,259893.0,198802.0,181856.0,"DSF0001083923, DSF0001017824",True,-78037.0,-30.026587865005983,0.0
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,VENTILATION / FIRE ALARM SYSTEM REPLACEMENT,Construction,PNS,,,PNS,5005043.0,5005043.0,581060.0,"DSF0001083923, DSF0001017824",False,,,
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA CIP,VENTILATION / FIRE ALARM SYSTEM REPLACEMENT,"CM,F&E",PNS,,,PNS,450541.0,450541.0,94567.0,"DSF0001083923, DSF0001017824",False,,,
1,M060,EAST SIDE COMMUNITY SCHOOL,SCA IEH,PO18-ABATE AND REPAIR PIPE INSULATION DUE TO STEAM LEAK LOCATED IN THE ART GALLARY DOWN IN THE BASEM,Construction,Complete,2024-01-19,,1/20/2024,,15076.0,11076.0,SCA0000072665,False,,,
1,M060,EAST SIDE COMMUNITY SCHOOL,Fast Track Projects,COVID VENTILATION,Construction,In-Progress,2020-11-03,,,,194813.0,190289.0,DSF0000961040,False,,,
1,M060,EAST SIDE COMMUNITY SCHOOL,Fast Track Projects,ROOF,Construction,In-Progress,2019-05-16,,,,1767085.0,1630567.0,DSF0000912294,False,,,
1,M060,EAST SIDE COMMUNITY SCHOOL,DIIT - IPDVS,DIIT IPDVS SERVER REFRESH,Purch & Install,Complete,2022-09-23,,1/26/2023,,50000.0,40511.0,DSF0001034756,False,,,
1,M060,EAST SIDE COMMUNITY SCHOOL,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,2024-03-27,,6/18/2024,,53000.0,53000.0,DSF0001086193,False,,,
1,M060,EAST SIDE COMMUNITY SCHOOL,DOE - RESOA,FY21 RESO A WATER FOUNTAIN UPGRADES,Construction,In-Progress,2022-01-31,,,,38764.0,0.0,DSF0000961294,False,,,
1,M060,EAST SIDE COMMUNITY SCHOOL,DOE - RESOA,FY23 RESO A SCIENCE LAB UPGRADE,Construction,PNS,,,PNS,,2575903.0,0.0,DSF0001035641,False,,,
1,M060,EAST SIDE COMMUNITY SCHOOL,DOE - Skilled Trades,ACE BOILER CONTROLS UPGRADE,Construction,In-Progress,2023-06-05,,,,60921.0,0.0,DSF0000866117,False,,,
1,M060,EAST SIDE COMMUNITY SCHOOL,DOE - Skilled Trades,CAFETERIA ENHANCEMENT EXPERIENCE,Construction,In-Progress,2024-04-01,,,,438872.0,0.0,DSF0001085734,False,,,
1,M061,P.S. 361 - MANHATTAN,SCA CIP,WATER INFILTRATION IN ELECTRICAL ROOM,Scope,Complete,2019-04-09,2019-08-22,9/20/2019,22622.0,11776.0,11776.0,DSF0000898235,True,-10846.0,-47.94447882592167,0.0
1,M061,P.S. 361 - MANHATTAN,SCA CIP,WATER INFILTRATION IN ELECTRICAL ROOM,Design,Complete,2019-10-23,2020-03-27,6/8/2020,113110.0,117941.0,114637.0,DSF0000898235,True,1527.0,1.3500132614269296,0.0
1,M061,P.S. 361 - MANHATTAN,SCA CIP,WATER INFILTRATION IN ELECTRICAL ROOM,Construction,In-Progress,2021-10-18,2023-04-10,,2544967.0,2352810.0,1700745.0,DSF0000898235,True,-844222.0,-33.17221795017382,0.0
1,M061,P.S. 361 - MANHATTAN,SCA CIP,WATER INFILTRATION IN ELECTRICAL ROOM,"CM,F&E",In-Progress,2021-10-18,2023-04-10,,158354.0,549796.0,467540.0,DSF0000898235,True,309186.0,195.2498831731437,1.0
1,M061,P.S. 361 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,2022-07-07,2022-11-04,7/27/2022,3838.0,2320.0,2320.0,DSF0001034584,True,-1518.0,-39.55184992183429,0.0
1,M061,P.S. 361 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,2022-07-27,2023-01-25,9/21/2022,17271.0,9280.0,9280.0,DSF0001034584,True,-7991.0,-46.268311041630476,0.0
1,M061,P.S. 361 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,2023-06-05,2024-04-29,,222607.0,209255.0,166392.0,DSF0001034584,True,-56215.0,-25.253024388271704,0.0
1,M061,P.S. 361 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,2023-06-05,2024-04-29,,117815.0,100533.0,55108.0,DSF0001034584,True,-62707.0,-53.22497135339304,0.0
1,M061,M094 SPED - MANHATTAN,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,2023-11-27,,3/13/2024,,70000.0,70000.0,DSF0001035644,False,,,
1,M061,P.S. 361 - MANHATTAN,DOE - RESOA,FY22 RESO A HYDROPONICS LAB,Construction,In-Progress,2022-07-29,,,,219727.0,0.0,DSF0001033207,False,,,
1,M061,P.S. 315 - MANHATTAN,DOE - Skilled Trades,DEP/DOE WATER CONSERVATION FIXTURE RETROFIT PROGRAM,Construction,In-Progress,2022-05-31,,,,72044.0,0.0,DSF0001008951,False,,,
1,M061,P.S. 361 - MANHATTAN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,2024-04-05,,4/12/2024,,65832.0,25380.0,DSF0001084197,False,,,
1,M063,P.S. 363 - MANHATTAN,Fast Track Projects,LSP FY23 RESO A GYMNASIUM UPGRADE,Construction,In-Progress,2023-11-29,,,,108253.0,0.0,DSF0001035647,False,,,
1,M063,P.S. 63 - MANHATTAN,DIIT - IPDVS,DIIT IPDVS SERVER REFRESH,Purch & Install,Complete,2023-01-03,,2/27/2023,,50000.0,35048.0,DSF0001034757,False,,,
1,M063,P.S. 63 - MANHATTAN,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,Complete,2023-10-25,,3/26/2024,,95707.0,95707.0,,False,,,
1,M063,P.S. 63 - MANHATTAN,DOE - RESOA,FY22 RESO A BATHROOM UPGRADES,Construction,In-Progress,2022-10-07,,,,202779.0,0.0,DSF0001033635,False,,,
